Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-3T hasta 2015-2T;187,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-2T hasta 2015-1T;188,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-1T hasta 2014-4T;189,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-4T hasta 2014-3T;183,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-3T hasta 2014-2T;175,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-2T hasta 2014-1T;170,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2013-1T hasta 2013-4T;164,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-4T hasta 2013-3T;162,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-3T hasta 2013-2T;164,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-2T hasta 2013-1T;163,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2012-1T hasta 2012-4T;160,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-4T hasta 2012-3T;157,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-3T hasta 2012-2T;155,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-2T hasta 2012-1T;152,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2011-1T hasta 2011-4T;150,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2025-1T hasta 2025-4T;164,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2024-4T hasta 2025-3T;157,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2024-3T hasta 2025-2T;150,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2024-2T hasta 2025-1T;151,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2024-1T hasta 2024-4T;152,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2023-4T hasta 2024-3T;148,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2023-3T hasta 2024-2T;149,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2023-2T hasta 2024-1T;148,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2023-1T hasta 2023-4T;148,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2022-4T hasta 2023-3T;150,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2022-3T hasta 2023-2T;149,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2022-2T hasta 2023-1T;141,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2022-1T hasta 2022-4T;135,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2021-4T hasta 2022-3T;129,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2021-3T hasta 2022-2T;128,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2021-2T hasta 2022-1T;126,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2021-1T hasta 2021-4T;124,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2020-4T hasta 2021-3T;126,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2020-3T hasta 2021-2T;121,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2020-2T hasta 2021-1T;117,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2020-1T hasta 2020-4T;121,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2019-4T hasta 2020-3T;123,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2019-3T hasta 2020-2T;126,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2019-2T hasta 2020-1T;130,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2019-1T hasta 2019-4T;130,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2018-4T hasta 2019-3T;130,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2018-3T hasta 2019-2T;129,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2018-2T hasta 2019-1T;128,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2018-1T hasta 2018-4T;124,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2017-4T hasta 2018-3T;119,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2017-3T hasta 2018-2T;119,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2017-2T hasta 2018-1T;118,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2017-1T hasta 2017-4T;119,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2016-4T hasta 2017-3T;118,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2016-3T hasta 2017-2T;118,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2016-2T hasta 2017-1T;119,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2016-1T hasta 2016-4T;118,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2015-4T hasta 2016-3T;115,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2015-3T hasta 2016-2T;112,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2015-2T hasta 2016-1T;109,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2015-1T hasta 2015-4T;106,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2014-4T hasta 2015-3T;105,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2014-3T hasta 2015-2T;104,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2014-2T hasta 2015-1T;102,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2014-1T hasta 2014-4T;102,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2013-4T hasta 2014-3T;98,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2013-3T hasta 2014-2T;95,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2013-2T hasta 2014-1T;92,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2013-1T hasta 2013-4T;90,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2012-4T hasta 2013-3T;91,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2012-3T hasta 2013-2T;93,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2012-2T hasta 2013-1T;95,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2012-1T hasta 2012-4T;94,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2011-4T hasta 2012-3T;93,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2011-3T hasta 2012-2T;94,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2011-2T hasta 2012-1T;94,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;De 2011-1T hasta 2011-4T;93,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2025-1T hasta 2025-4T;105,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2024-4T hasta 2025-3T;102,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2024-3T hasta 2025-2T;100,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2024-2T hasta 2025-1T;103,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2024-1T hasta 2024-4T;102,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2023-4T hasta 2024-3T;103,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2023-3T hasta 2024-2T;102,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2023-2T hasta 2024-1T;100,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2023-1T hasta 2023-4T;98,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2022-4T hasta 2023-3T;97,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2022-3T hasta 2023-2T;97,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2022-2T hasta 2023-1T;96,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2022-1T hasta 2022-4T;98,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2021-4T hasta 2022-3T;100,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2021-3T hasta 2022-2T;104,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2021-2T hasta 2022-1T;105,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2021-1T hasta 2021-4T;98,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2020-4T hasta 2021-3T;91,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2020-3T hasta 2021-2T;82,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2020-2T hasta 2021-1T;76,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2020-1T hasta 2020-4T;79,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2019-4T hasta 2020-3T;81,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2019-3T hasta 2020-2T;84,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2019-2T hasta 2020-1T;87,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2019-1T hasta 2019-4T;89,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2018-4T hasta 2019-3T;90,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2018-3T hasta 2019-2T;90,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2018-2T hasta 2019-1T;89,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2018-1T hasta 2018-4T;90,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2017-4T hasta 2018-3T;89,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2017-3T hasta 2018-2T;89,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2017-2T hasta 2018-1T;89,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2017-1T hasta 2017-4T;83,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2016-4T hasta 2017-3T;80,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2016-3T hasta 2017-2T;76,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2016-2T hasta 2017-1T;74,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2016-1T hasta 2016-4T;75,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2015-4T hasta 2016-3T;76,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2015-3T hasta 2016-2T;77,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2015-2T hasta 2016-1T;77,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2015-1T hasta 2015-4T;78,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2014-4T hasta 2015-3T;81,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2014-3T hasta 2015-2T;83,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2014-2T hasta 2015-1T;85,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2014-1T hasta 2014-4T;86,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2013-4T hasta 2014-3T;84,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2013-3T hasta 2014-2T;80,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2013-2T hasta 2014-1T;77,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2013-1T hasta 2013-4T;73,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2012-4T hasta 2013-3T;70,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2012-3T hasta 2013-2T;70,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2012-2T hasta 2013-1T;68,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2012-1T hasta 2012-4T;66,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2011-4T hasta 2012-3T;64,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2011-3T hasta 2012-2T;61,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2011-2T hasta 2012-1T;58,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;De 2011-1T hasta 2011-4T;57,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2025-1T hasta 2025-4T;77,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2024-4T hasta 2025-3T;73,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2024-3T hasta 2025-2T;70,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2024-2T hasta 2025-1T;72,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2024-1T hasta 2024-4T;72,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2023-4T hasta 2024-3T;71,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2023-3T hasta 2024-2T;69,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2023-2T hasta 2024-1T;68,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2023-1T hasta 2023-4T;67,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2022-4T hasta 2023-3T;67,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2022-3T hasta 2023-2T;66,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2022-2T hasta 2023-1T;58,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2022-1T hasta 2022-4T;52,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2021-4T hasta 2022-3T;46,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2021-3T hasta 2022-2T;44,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2021-2T hasta 2022-1T;42,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2021-1T hasta 2021-4T;37,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2020-4T hasta 2021-3T;34,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2020-3T hasta 2021-2T;29,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2020-2T hasta 2021-1T;27,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2020-1T hasta 2020-4T;31,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2019-4T hasta 2020-3T;36,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2019-3T hasta 2020-2T;40,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2019-2T hasta 2020-1T;43,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2019-1T hasta 2019-4T;43,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2018-4T hasta 2019-3T;43,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2018-3T hasta 2019-2T;43,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2018-2T hasta 2019-1T;43,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2018-1T hasta 2018-4T;42,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2017-4T hasta 2018-3T;39,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2017-3T hasta 2018-2T;38,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2017-2T hasta 2018-1T;39,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2017-1T hasta 2017-4T;37,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2016-4T hasta 2017-3T;36,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2016-3T hasta 2017-2T;36,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2016-2T hasta 2017-1T;35,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2016-1T hasta 2016-4T;36,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2015-4T hasta 2016-3T;36,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2015-3T hasta 2016-2T;34,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2015-2T hasta 2016-1T;33,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2015-1T hasta 2015-4T;32,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2014-4T hasta 2015-3T;34,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2014-3T hasta 2015-2T;33,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2014-2T hasta 2015-1T;33,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2014-1T hasta 2014-4T;33,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2013-4T hasta 2014-3T;30,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2013-3T hasta 2014-2T;29,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2013-2T hasta 2014-1T;30,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2013-1T hasta 2013-4T;30,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2012-4T hasta 2013-3T;31,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2012-3T hasta 2013-2T;33,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2012-2T hasta 2013-1T;32,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2012-1T hasta 2012-4T;31,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2011-4T hasta 2012-3T;29,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2011-3T hasta 2012-2T;29,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2011-2T hasta 2012-1T;27,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;De 2011-1T hasta 2011-4T;26,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 25 a 34 años;De 2025-1T hasta 2025-4T;68,7
